"deviceType","duration_sec"
"TILE","18899161"
"TILE","18896005"
"TILE","18895093"
"TILE","18891157"
"TILE","18841348"
"TILE","18840432"
"TILE","18839520"
"TILE","18838608"
"TILE","18837692"
"TILE","18836779"
"TILE","18834951"
"TILE","18834047"
"TILE","18833131"
"TILE","18832223"
"TILE","18831315"
"TILE","18830403"
"TILE","18830367"
"TILE","18828508"
"TILE","18827600"
"TILE","18826688"
"TILE","18822900"
"TILE","18821968"
"TILE","18821043"
"TILE","18817291"
"TILE","18802915"
"TILE","18800890"
"TILE","18798850"
"TILE","18794942"
"TILE","18740855"
"TILE","18716554"
"TILE","18712822"
"TILE","18711905"
"TILE","18709157"
"TILE","18707229"
"TILE","18637707"
"TILE","18636691"
"TILE","18628754"
"TILE","18626927"
"TILE","18625107"
"TILE","18623291"
"TILE","18621463"
"TILE","18615806"
"TILE","18558988"
"TILE","18557172"
"TILE","18546959"
"TILE","18539987"
"TILE","18526719"
"TILE","18525803"
"TILE","18524887"
"TILE","18410700"
"TILE","18408852"
"TILE","18407944"
"TILE","18404883"
"TILE","18397655"
"TILE","18383202"
"TILE","18378399"
"TILE","18377443"
"TILE","18376515"
"TILE","18374450"
"TILE","18324640"
"TILE","18323525"
"TILE","18321613"
"TILE","18318877"
"TILE","18311600"
"TILE","18310696"
"TILE","18297164"
"TILE","18021"
"TILE","16937"
"TILE","19684218"
"TILE","19681406"
"TILE","19679589"
"TILE","19675301"
"TILE","19624577"
"TILE","19588742"
"TILE","19491942"
"TILE","19489111"
"TILE","19485242"
"TILE","19481614"
"TILE","19477925"
"TILE","19379463"
"TILE","19378519"
"TILE","19377591"
"TILE","19376652"
"TILE","19375724"
"TILE","19370163"
"TILE","19369231"
"TILE","19366411"
"TILE","19364551"
"TILE","19362655"
"TILE","19361718"
"TILE","19360774"
"TILE","19358790"
"TILE","19357743"
"TILE","19356807"
"TILE","19355846"
"TILE","19354894"
"TILE","19353938"
"TILE","19353010"
"TILE","19352038"
"TILE","19351002"
"TILE","19350086"
"TILE","19349170"
"TILE","19348149"
"TILE","19346109"
"TILE","19344910"
"TILE","19341301"
"TILE","19333736"
"TILE","19319235"
"TILE","19318315"
"TILE","19315558"
"TILE","19314650"
"TILE","19313734"
"TILE","19311914"
"TILE","19310994"
"TILE","19310090"
"TILE","19309179"
"TILE","19308251"
"TILE","19307331"
"TILE","19306419"
"TILE","19305474"
"TILE","19298374"
"TILE","19283781"
"TILE","19280156"
"TILE","19276620"
"TILE","19275111"
"TILE","19272720"
"TILE","19269111"
"TILE","19264739"
"TILE","19260775"
"TILE","19256811"
"TILE","19254895"
"TILE","19251066"
"TILE","19247678"
"TILE","19246538"
"TILE","19245146"
"TILE","19244218"
"TILE","19241917"
